,tradeMonth,tradeYear,averageTransactionCount,securitySubtype,tradeReportDate,productType
118,9,2022,35627,NGD,2023-03-01,TBA
119,9,2022,41169,,2023-03-01,ABS
120,8,2022,49489,,2023-03-01,MBS
121,8,2022,136806,GD,2023-03-01,TBA
122,8,2022,36320,NGD,2023-03-01,TBA
123,8,2022,32120,,2023-03-01,ABS
124,7,2022,47320,,2023-03-01,MBS
125,7,2022,137978,GD,2023-03-01,TBA
126,7,2022,31522,NGD,2023-03-01,TBA
127,7,2022,19845,,2023-03-01,ABS
128,6,2022,48704,,2023-03-01,MBS
129,6,2022,133813,GD,2023-03-01,TBA
130,6,2022,32007,NGD,2023-03-01,TBA
131,6,2022,22008,,2023-03-01,ABS
132,5,2022,54990,,2023-03-01,MBS
133,5,2022,129759,GD,2023-03-01,TBA
134,5,2022,39692,NGD,2023-03-01,TBA
135,5,2022,23918,,2023-03-01,ABS
136,4,2022,49438,,2023-03-01,MBS
137,4,2022,128088,GD,2023-03-01,TBA
138,4,2022,32977,NGD,2023-03-01,TBA
139,4,2022,32296,,2023-03-01,ABS
140,3,2022,47571,,2023-03-01,MBS
141,3,2022,134267,GD,2023-03-01,TBA
142,3,2022,34227,NGD,2023-03-01,TBA
143,3,2022,25543,,2023-03-01,ABS
144,3,2023,48616,,2023-04-01,MBS
145,3,2023,144638,GD,2023-04-01,TBA
146,3,2023,32094,NGD,2023-04-01,TBA
147,3,2023,28136,,2023-04-01,ABS
148,2,2023,51301,,2023-04-01,MBS
149,2,2023,141517,GD,2023-04-01,TBA
150,2,2023,29572,NGD,2023-04-01,TBA
151,2,2023,27051,,2023-04-01,ABS
152,1,2023,49726,,2023-04-01,MBS
153,1,2023,146363,GD,2023-04-01,TBA
154,1,2023,32206,NGD,2023-04-01,TBA
155,1,2023,21619,,2023-04-01,ABS
156,12,2022,48688,,2023-04-01,MBS
157,12,2022,138416,GD,2023-04-01,TBA
158,12,2022,28572,NGD,2023-04-01,TBA
159,12,2022,19370,,2023-04-01,ABS
160,11,2022,53503,,2023-04-01,MBS
161,11,2022,142490,GD,2023-04-01,TBA
162,11,2022,34256,NGD,2023-04-01,TBA
163,11,2022,24267,,2023-04-01,ABS
164,10,2022,48894,,2023-04-01,MBS
165,10,2022,135619,GD,2023-04-01,TBA
166,10,2022,35280,NGD,2023-04-01,TBA
167,10,2022,38842,,2023-04-01,ABS
168,9,2022,48319,,2023-04-01,MBS
169,9,2022,132655,GD,2023-04-01,TBA
170,9,2022,35627,NGD,2023-04-01,TBA
171,9,2022,41436,,2023-04-01,ABS
172,8,2022,49485,,2023-04-01,MBS
173,8,2022,136833,GD,2023-04-01,TBA
174,8,2022,36320,NGD,2023-04-01,TBA
175,8,2022,31621,,2023-04-01,ABS
176,7,2022,47298,,2023-04-01,MBS
177,7,2022,137930,GD,2023-04-01,TBA
178,7,2022,31522,NGD,2023-04-01,TBA
179,7,2022,19777,,2023-04-01,ABS
180,6,2022,48714,,2023-04-01,MBS
181,6,2022,133840,GD,2023-04-01,TBA
182,6,2022,32007,NGD,2023-04-01,TBA
183,6,2022,21979,,2023-04-01,ABS
184,5,2022,54995,,2023-04-01,MBS
185,5,2022,129736,GD,2023-04-01,TBA
186,5,2022,39682,NGD,2023-04-01,TBA
187,5,2022,23960,,2023-04-01,ABS
188,4,2022,49438,,2023-04-01,MBS
189,4,2022,128088,GD,2023-04-01,TBA
190,4,2022,33020,NGD,2023-04-01,TBA
191,4,2022,32296,,2023-04-01,ABS
192,4,2023,45010,,2023-05-01,MBS
193,4,2023,142881,GD,2023-05-01,TBA
194,4,2023,29341,NGD,2023-05-01,TBA
195,4,2023,23588,,2023-05-01,ABS
196,3,2023,48623,,2023-05-01,MBS
197,3,2023,144590,GD,2023-05-01,TBA
198,3,2023,32300,NGD,2023-05-01,TBA
199,3,2023,28136,,2023-05-01,ABS
200,2,2023,51301,,2023-05-01,MBS
201,2,2023,141517,GD,2023-05-01,TBA
202,2,2023,30195,NGD,2023-05-01,TBA
203,2,2023,27051,,2023-05-01,ABS
204,1,2023,49726,,2023-05-01,MBS
205,1,2023,146363,GD,2023-05-01,TBA
206,1,2023,32282,NGD,2023-05-01,TBA
207,1,2023,21619,,2023-05-01,ABS
208,12,2022,48688,,2023-05-01,MBS
209,12,2022,138416,GD,2023-05-01,TBA
210,12,2022,28641,NGD,2023-05-01,TBA
211,12,2022,19370,,2023-05-01,ABS
212,11,2022,53503,,2023-05-01,MBS
213,11,2022,142490,GD,2023-05-01,TBA
214,11,2022,34254,NGD,2023-05-01,TBA
215,11,2022,24267,,2023-05-01,ABS
216,10,2022,48894,,2023-05-01,MBS
217,10,2022,135619,GD,2023-05-01,TBA
218,10,2022,35280,NGD,2023-05-01,TBA
219,10,2022,38842,,2023-05-01,ABS
220,9,2022,48319,,2023-05-01,MBS
221,9,2022,132655,GD,2023-05-01,TBA
222,9,2022,35627,NGD,2023-05-01,TBA
223,9,2022,41436,,2023-05-01,ABS
224,8,2022,49485,,2023-05-01,MBS
225,8,2022,136833,GD,2023-05-01,TBA
226,8,2022,36320,NGD,2023-05-01,TBA
227,8,2022,31621,,2023-05-01,ABS
228,7,2022,47298,,2023-05-01,MBS
229,7,2022,137930,GD,2023-05-01,TBA
230,7,2022,31516,NGD,2023-05-01,TBA
231,7,2022,19777,,2023-05-01,ABS
232,6,2022,48714,,2023-05-01,MBS
233,6,2022,133840,GD,2023-05-01,TBA
234,6,2022,32007,NGD,2023-05-01,TBA
235,6,2022,21979,,2023-05-01,ABS
236,5,2022,54995,,2023-05-01,MBS
237,5,2022,129736,GD,2023-05-01,TBA
238,5,2022,39673,NGD,2023-05-01,TBA
239,5,2022,23960,,2023-05-01,ABS
240,5,2023,49698,,2023-06-01,MBS
241,5,2023,150562,GD,2023-06-01,TBA
242,5,2023,33428,NGD,2023-06-01,TBA
243,5,2023,26210,,2023-06-01,ABS
244,4,2023,45012,,2023-06-01,MBS
245,4,2023,142852,GD,2023-06-01,TBA
246,4,2023,29624,NGD,2023-06-01,TBA
247,4,2023,23588,,2023-06-01,ABS
248,3,2023,48623,,2023-06-01,MBS
249,3,2023,144598,GD,2023-06-01,TBA
250,3,2023,32870,NGD,2023-06-01,TBA
251,3,2023,28136,,2023-06-01,ABS
252,2,2023,51301,,2023-06-01,MBS
253,2,2023,141519,GD,2023-06-01,TBA
254,2,2023,30318,NGD,2023-06-01,TBA
255,2,2023,27051,,2023-06-01,ABS
256,1,2023,49726,,2023-06-01,MBS
257,1,2023,146363,GD,2023-06-01,TBA
258,1,2023,32282,NGD,2023-06-01,TBA
259,1,2023,21619,,2023-06-01,ABS
260,12,2022,48688,,2023-06-01,MBS
261,12,2022,138416,GD,2023-06-01,TBA
262,12,2022,28641,NGD,2023-06-01,TBA
263,12,2022,19370,,2023-06-01,ABS
